Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Chicken curry,1 serving,85,129.22,11.79,7.57,1.41,3.38,1.79,108,27.29,0.87,16.79,38.7
Chicken kebab,1 serving,,729.41,3.71,78.89,0.21,1.11,0.24,69.76,3.46,0.28,0.41,3.83
Chicken korma,1 serving,,147.96,9.83,9.67,1.82,5.43,3.32,119.21,68.66,1.06,10.02,58.86
Chicken lasagne,1 serving,,187.49,10.45,10.36,0.11,13.9,2.74,238.55,119.98,0.64,4.23,61.02
"Chicken livers, fried",3 med.,100,140,22,14,0,2.3,,,,,,
Chicken manchurian,1 serving,,142.34,9.53,11.96,0.41,6.06,0.9,2414.77,26.52,1.28,10.37,45.99
Chicken pakora/pakoda,1 serving,,590.09,6.03,60.98,0.96,4.55,0.22,103.23,9.08,0.51,0.14,11.46
Chicken pulao,1 serving,,108.24,6.07,8.48,1.64,11.17,0.99,3093.47,32.25,0.98,4.47,38.7
Chicken salad,1 serving,,338.19,15.33,30.26,2,1.3,0.96,50.62,43.19,1.23,4.92,35.5
Chicken sandwich,1 serving,,253.27,13.12,11.75,1.64,25.38,1.6,389.67,89.56,1.19,0,11.1
chicken soup,1 cup,250,75,4,2,0,10,,,,,,
Chicken stew,1 serving,,127.55,7.19,8.91,1.82,4.44,1.43,79.62,31.53,0.9,20.89,36.31
Chicken stock,1 serving,,29.88,3.69,1.51,0.1,0.37,0.2,58.58,3.57,0.18,0.84,10.19
Chicken sweet and sour,1 serving,,445.09,6.92,47.59,0.58,2.67,0.89,1809.94,21.98,0.93,37.78,50.11
Chicken sweet corn soup,1 serving,,28.32,14.48,12.59,0.47,1.63,0.27,12205.33,91.5,3.83,2.02,13.45
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),1 serving,,285.78,12.58,16.77,1.53,22.62,1.77,287.39,78.45,1.12,0,12.99
Chicken yakhni,1 serving,,99,10.66,6.1,0.62,0.78,0.12,97.38,28.24,0.93,0.09,13.24
Chickpea flour cookies (Sweet besan rounds/cookies),1 serving,,207.01,4.29,3.42,2.56,39.64,30.66,22.29,54.95,2.16,0.39,10
Chickpeas curry (Safed channa curry),1 serving,,163.43,6.1,6.84,4.73,19.98,4.78,357.99,30.61,1.82,16.33,184.58
Chilli chicken,1 serving,,198.83,9.57,16.56,0.99,2.86,0.93,223.75,12.97,0.66,55.19,51.55
Chilli paneer,1 serving,,777.51,2.1,84.01,0.5,3.31,1.5,89.04,42.9,0.36,4.87,28.7
Chinese cabbage and meat ball soup,1 serving,,484.31,5.21,56.57,0.57,1.43,0.37,4249.41,41.07,1.52,16.72,20.33
Chinese fried rice,1 serving,,120.58,4.05,5.43,2.31,13.4,1.47,248.36,34.7,0.99,67.39,136.83
Chocochip ice cream,1 serving,,241.45,4.23,17.93,0,16.75,16.08,34.84,73.22,0.51,2.13,24.1
Chocolate biscuit,1 serving,,379.76,5.88,17.09,1.01,51.56,24.16,127.02,41.51,1.14,0.03,1.81
Chocolate burfi,1 serving,,339.33,13,17.86,0,33.15,32.38,39.32,466.48,2.12,0,23.85
Chocolate butter icing,1 serving,,469.59,3.21,24.77,0,61.72,59.82,4.99,31.87,1.85,0,1.22
Chocolate cake,1 serving,,335.61,6.01,15.18,0.64,45.14,27.58,241.93,41.13,1.08,0.15,9.21
Chocolate chiffon cake,1 serving,,311.71,5.76,15.8,0.7,37.87,24.25,188.59,42.15,1.07,0.21,12
Chocolate chip cookies,1 serving,,425.29,5.79,19.38,1.05,57.98,30.29,278.29,24.76,1.22,0,2.62
Chocolate cream shells,1 serving,,427.17,5.1,19.34,0.9,59.26,34.72,126.84,28.53,1.08,0,2.42
Chocolate creams,2,30,130,0,4,0,24,,,,,,
Chocolate eclairs,1 serving,,239.42,4.24,13.5,0.33,26.22,17.34,85.88,34.21,0.68,0.4,18.34
Chocolate eggless cake,1 serving,,312.01,6.66,13.19,0.32,43.45,34.2,196.61,185.38,0.95,2.67,14.7
Chocolate fudge,1 slice,120,420,5,14,0.3,70,,,,,,
Chocolate glace icing,1 serving,,436.29,3.22,20.8,0,62.43,59.88,8.66,26.75,2.04,0,1.52
Chocolate ice cream,1 serving,,177.7,4.47,11.25,0,15.41,15.33,36.79,84.24,0.47,4.06,43.75
Chocolate meringue pie,1 serving,,214.76,4.98,9.17,0.37,28.8,15.03,80.77,55.98,0.92,1.26,23.21
Chocolate pastry,1 serving,,243.37,7.05,10.12,0.32,32.24,22.34,46.54,50.7,1.44,0.25,17.22
Chocolate pudding,1 serving,,211.96,3.55,9.48,0.53,29.59,20.68,171.36,64.56,0.6,0.75,18.08
Chocolate sauce,1 serving,,263.2,1.91,10.39,0,43.21,42.06,2.8,18.8,1.13,0,0.63
Chocolate souffle,1 serving,,189.32,7.88,11.36,0,14.74,12.69,56.07,71.55,0.71,1.3,31.85
Chocolate sponge cake,1 serving,,239.86,9.13,5.51,0.52,39.54,25,61.47,33.99,1.81,0,19.87
