Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
Hamburger,3 oz.,85,245,21,17,0,0,,,,,,
Handi chicken,1 serving,,166.02,12.32,12.46,0.67,1.49,0.75,75.64,26.85,0.93,1.47,20.46
Hard candies,1 oz.,28,90,0,0,0,28,,,,,,
Hariyali Fish Tikka,1 serving,,150.24,14.01,9.41,0.99,2.21,0.83,100.45,34.86,0.83,11.11,26.78
Hawain salad,1 serving,,175.23,4.27,11.37,3.93,14.35,5.24,64.92,61.03,1.12,51.75,123.62
Hazelnut cookies,1 serving,,493.32,6.25,34.97,2.45,39.44,22.01,81.06,47.43,1.29,0,19.45
heated peas,1 cup,100,53,3,0,1,10,,,,,,
Herring,1 small,100,211,22,13,0,0,,,,,,
Home made egg noodles,1 serving,,240.84,6.55,4.37,1.6,42.92,1.03,177.24,15.96,1.15,0,30.08
Home made plain noodles,1 serving,,238.78,6.21,3.56,1.65,44.5,1.07,182.07,12.27,1.07,,
Honey,2 T.,42,120,0,0,0,30,,,,,,
Honey banana cream,1 serving,,125.49,2.78,6.68,0.7,13.64,10.51,15.65,43.52,0.23,16.68,28.45
Honey cake,1 serving,,333.59,3.08,14.7,0.51,49.04,33.43,72.55,50.86,0.46,0.53,10.06
Horsegram dal (Kulthi dal) ,1 serving,,55.65,2.91,1.13,1.52,8.21,0.72,63.63,38.22,1.3,13.98,86.1
Hot and sour soup,1 serving,,31.51,3.12,1.31,0.6,1.78,0.66,163.26,10.68,0.43,24.59,39.83
Hot cheese souffle,1 serving,,177.1,9.18,13.23,0.12,5.41,2.91,286.96,169.17,0.83,2.41,66.94
Hot cherry sauce,1 serving,,252.74,0.13,0.07,0,67.95,17.65,105.81,24.82,0.45,,
Hot chocolate,1 serving,,90.01,3.43,4.61,0,9.02,8.86,36.04,113.63,0.33,3.62,13.41
Hot chocolate souffle,1 serving,,226.09,6.7,11.1,0.12,26.21,22.88,54.11,60.19,1.08,0.9,30.6
Hot cocoa,1 serving,,90.1,3.36,4.56,0,9.23,9.01,24.2,113.66,0.31,3.62,13.79
Hot fish souffle,1 serving,,142.92,11.23,9.24,0.1,3.69,1.68,110.94,58.18,0.7,2.41,70.97
Hot lemon souffle,1 serving,,155.25,5.29,7.93,0.14,16.31,12.07,47.75,48.77,0.55,12.93,20.7
Hot orange souffle,1 serving,,179.97,6.87,8.95,0.29,18.77,14.93,58.8,53.81,1.03,7.01,30.66
Hot potato souffle,1 serving,,125.64,5.51,7.64,0.66,8.56,1.78,97.2,56.84,0.79,30.19,78.05
Hot spinach souffle,1 serving,,104.25,5.43,7.24,0.99,4.19,1.64,104.69,80.77,1.67,47.83,272.44
Hot tea (Garam Chai),1 serving,,16.14,0.39,0.53,0,2.58,2.58,3.12,14.2,0.02,0.5,1.8
Hot vanilla souffle,1 serving,,192.93,6.87,9.07,0.13,21.77,18.17,59.59,63.2,0.93,0.9,28.8
Hydrogenated cooking fat,1/2 cup,100,665,0,100,0,0,,,,,,
Ice box cookies,1 serving,,374.24,5.7,14.44,1.28,56.09,26.69,449.14,18.5,1.04,0.1,1.64
Ice cream,1 cup,188,300,6,18,0,29,,,,,,
Ice milk,1 cup,190,275,9,10,0,32,,,,,,
Iceberg,1/4 head,100,13,0,0,0.5,3,,,,,,
Iced tea,1 serving,,10.34,0.03,0.01,0,2.7,2.7,0.23,1.18,0.02,5.95,1.28
Ices,1 cup,150,117,0,0,0,48,,,,,,
Idli,1 serving,,137.54,4.64,0.33,2.31,28.18,0.28,100.83,8,0.68,0,2.95
Indian lamb and egg curry (Nargisi kofta),1 serving,,335.75,3.84,34.7,0.6,2.07,0.75,57.44,12.91,0.55,7.67,44.36
Indian style egg bhujia (Anda bhujia (Indian style)),1 serving,,102.83,6.1,7.02,1.53,3.76,1.95,218.05,31.9,1.14,13.56,40.85
Instant coffee,1 serving,,23.16,0.64,0.75,0,3.65,3.62,4.92,20.87,0.06,1.51,5.6
Instant dhokla,1 serving,,207.11,7.66,9.37,3.57,24.11,6.86,763.98,66.58,1.05,2.7,22.87
Instant idli (with semolina),1 serving,,247.29,9.16,3.61,7.13,43.4,3.35,1504.66,93.2,2.31,0.14,9.08
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),1 serving,,597.79,2.34,54.41,1.5,24,11.48,46.39,24.62,1.15,0.32,2.47
Jackfruit kofta curry (Kathal ka kofta curry),1 serving,,321.08,0.8,33.83,0.96,3.17,2.4,40.04,11.36,0.24,27.49,63.24
Jackfruit sabzi (Kathal ki sabzi),1 serving,,625.4,0.69,67.6,1.02,3.4,2.59,58.95,9.85,0.27,14.11,32.14
Jackfruit/Kathal (dry),1 serving,,488.97,0.93,51.78,1.33,4.56,3.55,33.68,12.79,0.33,21.72,55.34
Jal jeera,1 serving,,30.24,0.44,0.26,0.95,6.7,5.71,215.62,24.72,0.84,2.23,4.47
Jam and fruit pancake,1 serving,,162.02,3.79,7.01,1.21,20.73,7.85,93.09,54.06,0.52,6.48,8.42
Jam filling,1 serving,,184.62,0,0,0,46.15,41.54,0,0,0,0,0
Jam tart,1 serving,,360.72,4.42,17.35,1.14,46.18,14.74,70.34,12.23,0.74,0,2.44
Jellied sunshine fruit salad,1 serving,,48.86,5.85,0.85,1.8,4.21,2.86,74.2,37.14,0.87,28.75,37.7
Jellies,1 T.,20,50,0,0,0,13,,,,,,
Jelly biscuit,1 serving,,404.61,4.23,19.33,2.02,55.24,29.76,110.57,36.46,1.19,0.03,1.69
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),1 serving,,91.21,1.98,6.55,5.08,6.32,3.04,2067.33,54.31,2.32,,
Jowar dosa,1 serving,,294.35,8.5,10.28,5.56,40.53,0.59,97.25,19.46,2.03,0,9.63
Kabuli channa curry,1 serving,,68.57,2.92,3.06,1.12,7.63,1.24,122.05,32.03,0.95,16.22,93.09
Kadhai Paneer,1 serving,,107.99,4.33,6.81,2.07,7.34,5.54,144.33,91.53,0.65,85.83,117.12
Kale,1 cup,110,45,4,1,0.9,8,,,,,,
Kale salad,1 serving,,177.71,4.86,15.33,1.36,5.01,3.31,292.04,109.11,1.3,30.49,35.39
Kashmiri 'tahar',1 serving,,98.21,1.95,1.37,0.98,19.11,0.17,61.29,3.93,0.32,0.02,7.94
Kashmiri masala,1 serving,,389.02,8.26,31.03,12.12,23.16,2.41,3106.14,303.49,14.72,,
Kashmiri mutton koftas (Gushtaba),1 serving,,97.42,6.33,6.77,0.62,3.04,2.13,130.11,52.53,0.85,3.22,22.46
Kashmiri tea (Kehwa),1 serving,,24.9,0.17,0.51,0.16,5.23,5.14,0.29,3.19,0.07,0.06,0.82
Keema kofta curry,1 serving,,154.45,9.77,10.39,1.51,5.64,2.14,311.51,49.89,1.25,2.43,6.6
Keema pancake,1 serving,,176.27,9.01,11.25,0.84,9.56,2.2,125.4,40.96,0.93,4.64,12.23
Keema parantha/paratha,1 serving,,238.09,9.41,13.91,3.44,18.36,0.99,140.62,19.35,1.8,1.8,11.49
Kesari bath,1 serving,,244.57,2.4,12.59,1.65,31.38,20.16,1.7,7.7,0.69,0,8.55
Khakhra,1 serving,,178.5,4.78,5.32,5.43,27.66,0.88,184.16,21.27,2.14,0.56,10.5
Khakhra chaat,1 serving,,358.66,4.52,30.65,3.04,16.64,3.26,102.78,24.49,1.26,46.67,312.97
Khaman (dhokla),1 serving,,54.73,1.92,2.8,1.49,5.36,1.36,124.1,5.31,0.58,2.6,19.33
Khasta kachori,1 serving,,712.73,2.51,72.27,0.97,12.81,0.34,90.56,7.84,0.59,0.86,6.38
Khatta channa,1 serving,,202.57,6.3,10.56,5.26,21.14,4.75,513.32,40.77,1.94,20.89,244.23
Khoa and coconut pancake,1 serving,,271.98,6.98,15.29,1.65,27.32,16.47,101,157.22,1.12,0.73,19.12
Khoa coconut burfi,1 serving,,411.45,9.98,26.01,4.07,36.55,35.6,31.14,309.84,2.1,0,26.6
Khoa ladoo,1 serving,,396.02,12.21,24.09,3.08,34.43,33.37,31.71,358.61,2.25,0.02,27.31
Kidney bean curry (Rajmah curry),1 serving,,143.73,5.95,5.77,5.83,16.38,2.49,354.6,47.87,2.27,16.33,112.28
Kidney bean sandwich with cottage cheese,1 serving,,176.64,9.85,6.84,3.66,18.86,3.69,97.97,166.63,1.64,5.33,213.8
Kiwi granola pudding,1 serving,,280.99,5.6,15.36,3.71,32.33,15.08,59.21,62.2,1.45,65.34,207.15
Kohlrabi,1 cup,140,40,2,0,1.5,9,,,,,,
Kulfi,1 serving,,98.43,3.21,4.7,0.12,11.3,10.39,23.97,111.86,0.2,5.04,18.69
"Lamb, chop, broiled",4 oz.,115,480,24,35,0,0,,,,,,
"Lambs quarters, steamed",1 cup,150,48,5,0,3.2,7,,,,,,
Lard,1/2 cup,110,992,0,110,0,0,,,,,,
Lasagne with meat sauce,1 serving,,63.38,2.9,3.43,0.47,5.38,1.04,37.08,24.61,0.49,80.17,112.65
Lasagne with vegetables,1 serving,,49.23,1.71,2.16,0.66,5.9,1.37,40.78,32.89,0.57,179.9,286.76
Lassi (salted),1 serving,,18.84,1.35,0.72,0.02,1.86,1.84,65.4,47.78,0.04,1.02,18.07
Leg roasted,3 oz.,86,314,20,14,0,0,,,,,,
Lem-o-gin,1 serving,,21.52,0.08,0.03,0.13,5.55,5.38,28.13,2.2,0.09,5.68,2.92
Lemon and ginger squash (Nimbu aur adrak ka squash),1 serving,,170.34,0.54,0.21,1.07,44.06,42.53,16.19,11.18,0.52,,
Lemon butter fish,1 serving,,160.25,16.38,10.26,0.36,0.75,0.23,187.72,18.66,0.4,8.7,19.1
Lemon cake,1 serving,,373.85,5.29,20.63,0.62,43.1,25.84,151.29,32.77,0.91,2.44,9
Lemon chicken,1 serving,,169.79,20.2,9.66,0.16,0.55,0.16,79.93,17.4,0.95,8.94,31.21
Lemon chiffon pie,1 serving,,259.31,4.88,14.52,0.66,27.63,11.39,94.95,34.43,0.61,7.18,51.7
Lemon cookies,1 serving,,394.48,5.63,23.02,0.78,42.19,23.47,84.71,72.04,0.69,1.5,10.76
Lemon coriander soup,1 serving,,108.06,2.27,6.26,6.77,10.32,2.2,219.17,102.57,3.47,8.6,12.47
Lemon curd filling,1 serving,,225.62,3.43,12.58,0,26.41,26.13,34.9,16.39,0.6,0.64,3.21
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),1 serving,,14.07,0.85,0.24,1.07,2.14,1,7559.38,20.05,0.55,,
Lemon juice,1/2 cup,125,30,0,0,0,10,,,,,,
Lemon meringue,1 slice,120,300,4,12,0.1,45,,,,,,
Lemon meringue pie,1 serving,,224.43,3.88,8.16,0.44,35.11,21.17,85.12,16.79,0.67,5.1,17.48
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",1 serving,,176.3,4.26,7.88,2.52,21.62,0.78,187.11,12.7,0.77,10.2,38.01
Lemon souffle,1 serving,,168.51,6.95,10.02,0,13.43,11.67,50.73,59.81,0.56,12.9,32.11
Lemon squash (Nimbu ka squash),1 serving,,184.56,0.15,0.06,0,48.88,48.88,15.01,9.85,0.18,,
Lemon tart,1 serving,,303.35,6.12,17.45,0.81,30.68,10.68,76.09,24.03,0.98,2.66,9.19
Lemonade,1 serving,,20.8,0.03,0.01,0.02,5.48,5.47,28.52,1.84,0.05,5.27,2.11
Lemonade concentratefrozen,6-oz. can,220,430,0,0,0,112,,,,,,
Lentil soup,1 serving,,31.17,9.65,11.68,2.57,3.94,1.06,10418.84,40.57,2.26,17.9,34.92
Lentils,1 cup,200,212,15,0,2.4,38,,,,,,
Lentils and semolina porridge (Dal suji porridge/daliya),1 serving,,117.29,3.26,1.06,1.44,23.19,13.84,9.64,44.74,1.22,0.8,21.48
Lentils and wheat porridge (Dal wheat porridge/daliya ),1 serving,,52.54,2.71,0.94,1.28,8.36,0.92,62.79,26.28,0.52,0.6,11.32
Lettuce,1/4 head,100,14,1,0,0.5,2,,,,,,
Lichi squash,1 serving,,198.33,0.3,0.08,0.41,51.96,51.31,14.56,6.39,0.34,,
Lima,1 cup,160,140,8,0,3,24,,,,,,
"Lima, dry, cooked",1 cup,192,260,16,0,2,48,,,,,,
Limeade concentrate frozen,6-oz. can,218,405,0,0,0,108,,,,,,
Lobia curry,1 serving,,148.99,6.06,5.62,4.57,17.88,2.51,355.41,36.8,2.21,15.13,86.78
Lobster,aver.,100,92,18,1,0,0,,,,,,
Lotus seed halwa (Kamal gattay ka halwa),1 serving,,370.55,7.79,20.69,0.42,39.56,9.8,3.06,82.84,1.8,0.06,179.08
Lotus stem curry (Kamal kakdi curry),1 serving,,110.34,1.53,7.25,3.14,9.24,2.09,217.05,26.59,1.71,40.01,45.45
Lotus stem kofta curry (Kamal kakdi kofta curry),1 serving,,633.56,0.96,67.76,1.01,5.01,0.88,108.61,19.31,0.65,38.6,57.76
Lotus stem pickle (Kamal kakdi ka achar),1 serving,,102.69,1.44,1.6,8.58,20.07,2.53,181.83,137.73,20.57,12.35,1.91
Low calorie quick mayonnaise,1 serving,,242.89,1.41,24.35,0.06,4.71,0.83,165.94,6.47,0.25,,
Maa chaane ki dal,1 serving,,344.67,19.8,9.5,13.45,43.11,1.05,43.31,68.65,5.97,1.43,102.41
Macaroni,1 cup,140,155,5,1,0.1,32,,,,,,
Macaroni salad,1 serving,,262.19,5.02,17.78,0.56,21.63,3.73,163.99,35.7,0.77,22.15,34.69
Mackerel,3 oz.,85,155,18,9,,0,,,,,,
Macroni cheese pie,1 serving,,170.63,5.85,7.48,0.4,21.1,3.4,200.51,122.01,0.54,14.65,28.19
Maize porridge,1 serving,,89.57,2.14,1.89,1.68,15.64,7.69,5.59,17.02,1.11,3.03,23.98
Makhana kheer,1 serving,,107.85,3.31,5,0.11,12.88,11.54,23.4,111.64,0.28,5.06,23.77
Makki ki roti,1 serving,,263.97,3.49,16.85,5.19,24.19,0.7,236.22,14.76,1.11,1.99,10.72
Mal pua,1 serving,,566.68,1.71,54.64,0.62,17.56,11.77,6.35,30.05,0.33,0.67,5.3
Mango cheesecake,1 serving,,152.46,2.39,7.3,1.14,20.06,15.36,107.12,55.1,0.53,24.93,68.68
Mango ice cream,1 serving,,125.69,3.4,7.62,0.52,11.14,11.01,29.13,67.17,0.39,44.98,142.26
Mango malpua,1 serving,,334.64,1.65,30.67,2.08,12.84,4.96,1.89,10.64,0.7,38.05,110.67
Mango milkshake (Aam milkshake),1 serving,,56.9,1.73,2.35,0.26,7.23,7.15,13.27,62.33,0.15,20.1,53.68
Mango milkshake with ice cream (Aam milkshake ice creamÂ keÂ saath),1 serving,,68.35,1.93,2.8,0.23,9.18,9.11,16.64,69.36,0.15,16.96,46.37
Mango mousse,1 serving,,124.98,3.21,8.47,0.88,9.14,8.89,19.62,51.38,0.35,42.76,110.68
Mango murabba candy,1 serving,,293.35,0.27,0.05,0.95,77.32,74.73,13.71,16.55,0.33,19.85,5.7
Mango pickle (Aam ka achaar),1 serving,,192.12,1.6,17.89,3.68,8.11,1.79,3429.94,48.97,1.44,,
Mango raita (Aam ka raita),1 serving,,67.37,3.9,2.14,0.89,8.23,7.87,135.46,136.06,0.34,18.19,59.64
Mango squash (Aam ka squash),1 serving,,194.66,0.17,0.17,0.58,50.96,50.84,14.81,9.47,0.25,,
Mango vanilla custard,1 serving,,147.63,3.43,7.04,0.99,18.41,14.62,30.12,84.86,0.58,16.05,49.19
Marble cake,1 serving,,354.11,6.3,16.27,0.71,46.88,27.56,138.48,39.6,1.12,0.08,8.85
Margarine,1/2 cup,112,806,0,91,0,0,,,,,,
"Margarine, 2 pat or",1 T.,14,100,0,11,0,0,,,,,,
Marmalade (Murabba),1 serving,,143.76,0.23,0.04,0.43,37.64,37.29,2.16,9.84,0.34,,
Marshmallows,5,30,98,1,0,0,23,,,,,,
Masala arbi,1 serving,,185.38,3.01,11.9,3.1,16.16,0.81,261.31,32.08,0.99,1.9,20.12
Masala biscuit,1 serving,,393.64,6.06,20.75,2.14,45.18,6.82,714.52,53.73,1.32,0.15,2.15
Masala dosa,1 serving,,164.58,3.29,7.84,2.52,19.57,1.33,191.28,15.58,0.79,14.14,35.76
Masala dosa mixed vegetable fillings,1 serving,,144.53,4.84,3.26,4.31,23.02,1.53,122.08,31.79,1.21,52.07,89.33
Masala dosa paneer fillings,1 serving,,243.12,10.31,8.84,3.11,29.76,4.81,160.4,171.23,1.27,11.5,94.26
Masala green chilli pakora/pakoda (Hari mirch kay pakode),1 serving,,668.76,2.22,71.01,1.34,5.55,0.27,120.9,8.58,0.47,3.84,12.67
Masala onion pakora/pakoda (Pyaaz ke pakode),1 serving,,551.64,2.05,57.61,1.44,6.48,1.58,99.22,11.06,0.42,1.18,14.65
Masala souffle ,1 serving,,123.51,6.38,7.37,1.24,8.02,1.84,131.14,103.68,0.74,382.64,363.81
Masala urad dal vada,1 serving,,703.78,4.32,71.62,2.71,9.93,0.7,61.49,11.87,1,2.05,15.89
Masala vada,1 serving,,826.02,1.69,89.15,1.07,4.06,0.24,74.53,7.45,0.52,2.05,32.14
Mashed banana with milk,1 serving,,95.43,2.51,2.99,0.71,14.62,11.35,16.99,78.64,0.23,,
Mathri,1 serving,,805.12,1.75,83.1,0.6,12.32,0.29,64.7,5.23,0.43,0,2.38
Mayonnaise,1 serving,,774.86,1.86,84.52,0.11,1.65,1.44,272.89,15.36,0.51,,
Mayonnaise vegetable dip,1 serving,,241.27,3.01,23.44,0.41,4.8,4.39,119.58,91.42,0.28,4.58,7.03
Mayonnaise without eggs,1 serving,,329.05,2.13,33.84,0.04,3.98,3.68,193.58,75.54,0.27,12.05,18.85
Meat and macaroni casserole,1 serving,,161.55,9.15,10.17,1.19,16.12,1,2511.99,68.28,1.85,29.03,47.45
Meat consomme (with mutton),1 serving,,29.76,14.86,13.68,0.71,0.51,0.24,12665.52,115.88,4.22,2.44,15.49
Meat stock,1 serving,,24.48,2.1,1.78,0,0,0,8.62,0.86,0.05,0,6
Melting moments,1 serving,,437.91,5.71,21.78,1.88,55.84,25,119.09,30.39,1.2,0,3.59
Meringue and rice pudding,1 serving,,112.93,4.84,4.05,0.17,14.6,10.87,44.16,85.43,0.37,3.02,24.69
Methi chaman,1 serving,,475.62,1.54,50.91,0.53,2.78,1.79,54.94,60.57,0.63,63.26,141.85
Methi malai paneer,1 serving,,194.98,7.34,14.76,1.47,8.15,6,221.16,183.96,0.77,13.6,73.86
Methi pakora/pakoda (Methi ke pakode),1 serving,,713.25,2.06,76.39,1.18,4.68,0.25,69.83,23.07,0.69,23.31,126.81
Methi parantha/paratha,1 serving,,148.36,4.27,4.34,5.09,22.19,2.44,48.36,65.85,2.42,12.63,28.46
Methi poori,1 serving,,710.02,1.45,74.6,1.61,7.98,0.26,35.37,14.61,0.81,2.91,8.47
Methi thepla,1 serving,,346.16,8.98,15.95,7.56,41.34,2.98,543.27,73.51,4.52,1.06,15.26
Mexican rice,1 serving,,120.57,4.62,4.88,1.64,14.21,1.44,93.42,14.51,0.55,42.71,53.09
Milk cake,1 serving,,127.41,3.01,8.93,0.06,9.13,8.9,24.97,104.94,0.2,8,18.19
Milk chocolate,2-oz. bar,56,290,2,6,0.2,44,,,,,,
Milk cookies,1 serving,,459.43,10.49,24.96,0.99,48.43,22.06,156.53,251.59,0.75,2.03,19.54
Milk skim,1 qt.,984,360,36,0,0,52,,,,,,
Millet soup,1 serving,,55.99,11.26,12.57,2.82,8.22,1.45,10918.83,65.21,2.74,4.23,26.39
Mince,1 slice,135,340,3,9,0.7,62,,,,,,
Minced meat ball curry,1 serving,,109.79,6.82,7.85,1.49,2.86,1.27,170.06,23.84,1.01,20.62,33.86
Minced meat cutlet,1 serving,,531.86,5.1,54.47,0.4,5.61,0.31,95.81,20.82,0.63,1.81,8.86
Minced meat pancake (with chicken),1 serving,,116.04,12.01,10.48,0.7,8.18,1.29,4942.18,64.72,1.99,2.14,12.77
Minced meat patties,1 serving,,265.72,6.88,19.57,0.77,15.25,0.88,252.18,19.23,0.93,1.58,16.37
Minced meat pie,1 serving,,221.55,7.38,13.04,2.33,18.11,1.42,127.85,18.14,1.07,37.52,69.49
Minced meat samosa (Keema ka samosa),1 serving,,620.99,4.43,64.26,0.39,6.14,0.5,88.64,6.7,0.55,0.82,4.62
Minestrone soup,1 serving,,42.66,9.3,11.09,1.92,3.71,1.01,8875.06,53.55,1.82,19.43,23.24
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),1 serving,,102.6,2.81,0.51,4.33,21.18,15.88,391.66,107.45,4.76,3.62,10.89
Mint and peanut raita (Pudinay aur moongfali ka raita),1 serving,,112.05,7.05,6.19,1.79,7.31,6.17,223.01,191.01,1.68,6.06,44.25
Mint and peanut sandwich,1 serving,,273.59,7.18,13.88,3.67,31.83,2.78,453.3,114.99,1.7,1.75,15.62
Mint raita (Pudinay ka raita),1 serving,,77.59,5.64,2.96,0.34,7.65,7.48,274.38,198.22,0.37,2.94,20.62
Mint tomato chutney (Pudinay aur tamatar ki chutney),1 serving,,43.65,1.53,0.36,2.63,8.22,5.48,183.98,47.59,2.06,4.07,4.94
Mintade,1 serving,,40.32,0.03,0.02,0.03,10.59,10.47,26.69,2.1,0.05,8.5,4.69
Mixed dal,1 serving,,61.93,2.51,3.1,1.62,5.79,0.34,141.36,11,0.78,1.1,40.35
Mixed pulse and vegetable salad,1 serving,,83.12,4.74,0.84,2.96,13.96,1.36,127.78,51.63,2.13,23.82,105.59
Mixed stock,1 serving,,25.19,2.06,1.71,0.15,0.33,0.2,9.51,2.06,0.07,2.58,16.58
Mixed vegetable pakora/pakoda,1 serving,,673.81,1.94,71.86,1.13,5.12,0.38,65.35,9.55,0.46,21.46,143.18
Mixed vegetable pickle (Sabziyoon ka achaar),1 serving,,211.2,1.9,19.68,2.76,7.48,2.77,2488.32,42.81,2.12,,
Mixed vegetable pulao,1 serving,,113.05,2.72,3.33,2.67,17.49,1.35,187.92,19.61,0.6,26.15,80.63
Mixed vegetable salad with curd sauce,1 serving,,60.28,4.23,1.5,3.79,7.03,2.16,116.66,65.51,1.35,37.73,86.34
Mixed vegetable soup,1 serving,,35.71,8.22,11.66,1.64,2.95,1.64,9202.27,50.69,1.74,20.06,31.61
Molasses,1 T.,20,45,0,0,8,11,,,,,,
Mooli bhujia,1 serving,,91.2,1.69,7.25,2.36,4.74,1.07,89.73,131.88,2.37,80.77,75.87
Moong bean dosa (Pesarattu),1 serving,,285.96,12.32,11.67,6.04,31.91,2.9,61.36,36.44,3.38,1.48,14.32
Moong dal halwa,1 serving,,349.8,8.35,17.68,2.65,40.23,25.59,11.19,110.4,1.51,0.03,34.53
Moong dal kheer,1 serving,,77.16,2.95,2.97,0.4,9.89,7.92,16.34,75.66,0.28,5.06,32.3
Moong dal mixture,1 serving,,158.84,4.62,1,1.9,33.93,24.68,29.6,70.53,1.25,,
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),1 serving,,154.89,6.97,5.11,4.25,19.42,1.11,267.23,39.34,2.22,34.81,79.95
Moong dal with vadi,1 serving,,24.08,0.4,2.05,0.39,1,0.45,112.36,2.99,0.18,10.19,11.52
Moti mahal dal (Urad rajmah mix dal),1 serving,,103.13,3.93,5.66,3.38,8.74,1.7,157.61,38.13,1.05,15.45,93.14
Muffins,1,48,135,4,5,0,19,,,,,,
Mulligatawny soup,1 serving,,54.42,11.26,13.28,2.6,8.24,1.26,11602.5,43.89,2.65,8.37,27.88
Murmura (Puffed rice),1 serving,,113.32,3.62,4.04,0.28,15.67,7.31,22.52,103.79,0.63,4.82,16.87
Murmura chikki,1 serving,,253.82,2.12,0.32,0.37,59.59,48.27,15.03,63.3,3.3,0,2.16
Mushroom and cheese sandwich (toasted),1 serving,,227.42,7.79,13.01,2.28,21.01,2.11,456.57,172.35,0.84,0,12.7
Mushroom matar,1 serving,,70.77,2.79,4.11,3.13,5.33,1.39,61.63,21.42,0.81,39.15,54.07
Mushroom pulao,1 serving,,124.29,2.52,4.03,1.88,19.02,1,222.36,13.54,0.39,3.42,26.77
Mushroom sauce,1 serving,,137.56,3.39,10.51,0.47,7.31,3.86,20.94,94.1,0.22,,
Mushrooms canned,4,120,12,2,0,0,4,,,,,,
Mustard greens,1,140,30,3,0,1.2,6,,,,,,
Mustard sauce,1 serving,,158.58,3.98,12.17,0.13,8.29,4.22,22.16,109.03,0.44,,
Mustard seeds baghar (Mustard seed tadka),1 serving,,552.59,4.73,54.3,9.74,10.45,1.14,8.9,182.93,4.14,,
Mutton biryani/biriyani,1 serving,,190.76,7.38,7.72,2.42,22.5,2.39,262.64,68.58,1.29,10.28,30.07
Mutton chops,1 serving,,663.64,4.03,71.31,0.17,1.48,0.42,51.03,36.18,0.64,3.75,16.68
Mutton do piaza,1 serving,,183.3,9.39,14.41,1.93,4.14,2.9,118.62,118.61,1.63,7.42,67.3
Mutton korma,1 serving,,115.64,7.09,8.54,0.78,2.53,1.64,56.94,79.07,1.09,5.54,31.82
Mutton pulao,1 serving,,130.77,6.52,10.78,1.65,11.26,1,3115.59,49.87,1.25,4.47,39.34
Mutton seekh kebab,1 serving,,133.94,11.25,8.43,1.88,3.11,1.4,102.17,117.44,2.19,3.97,5.3
Mutton yakhni,1 serving,,104.13,8.27,7.7,0.67,0.84,0.13,101.02,88.61,1.66,0.09,6.51
Naan,1 serving,,286.45,8.05,4.99,1.91,51.75,5.59,326.11,88.01,1.29,0.23,7.56
Namkeen daliya,1 serving,,295.11,8.29,7.99,8.57,49.32,0.82,149.63,35.98,2.99,6.88,6.32
Nannari sharbat,1 serving,,88.79,0.01,0.01,0,23.62,23.58,1.16,2.67,0.05,9.92,2.29
Navratan pulao,1 serving,,261.71,6.2,9.45,3.82,36.98,2.52,334.26,59.61,1.1,12.89,46.97
"Navy, baked with pork",3/4 cup,200,250,11,6,2,37,,,,,,
"Nectar, or juice",1 cup,250,140,1,0,2,36,,,,,,
Noodle,1 cup,250,115,6,4,0.2,13,,,,,,
Noodles,1 cup,160,200,7,2,0.1,37,,,,,,
Oatmeal,1 cup,236,150,5,3,4.6,26,,,,,,
Oatmeal Porridge,1 serving,,72.85,2.6,3.22,0.39,8.77,5.2,16.14,76.83,0.28,5.03,23.98
Oats burfi,1 serving,,425.19,8.89,17.27,4.96,62.47,32.93,8.15,128.58,2.46,0.06,17.81
of refined flour,1,38,115,3,2,0,20,,,,,,
Okra,1 1/3 cups,100,32,1,0,1,7,,,,,,
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),1 serving,,110.81,1.83,9.27,3.57,4.5,1.42,92.78,67.88,0.88,29.07,85.27
Olive biscuit,1 serving,,438.29,3.2,23.75,0.82,55.01,32.27,120.1,10.76,1.37,0,2.28
Olive oil,1T.,14,125,0,14,0,0,,,,,,
Olives large,10,65,72,1,10,0.8,3,,,,,,
OlivesRipe,10,65,105,1,13,1,1,,,,,,
Onion chutney (Pyaaz ki chutney/Vengaya chutney),1 serving,,143.94,2.97,8.38,4.6,13.52,6.8,256.89,28.5,1.19,2.83,17.03
Onion pakora/pakoda (Pyaaz ke pakode),1 serving,,674.61,1.9,71.84,1.11,5.41,0.88,63.55,7.95,0.36,5.36,119.81
Onion raita (Pyaaz ka raita),1 serving,,71.56,4.86,2.43,0.65,7.86,7.07,189.96,163.8,0.3,8.44,32.13
Onion tomato baghar (Pyaaz tamatar ka tadka),1 serving,,137.52,1.26,11.98,2.12,6.17,3.51,31.33,20.45,0.63,,
Onion tomato uttapam,1 serving,,462.02,1.91,45.3,1.26,11.32,0.8,143.53,5.82,0.36,4.78,11.68
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),1 serving,,191.27,4.37,7.27,5.16,26.37,2.71,241.19,24.91,1.81,3.05,16.17
